Date,Open,High,Low,Close,Adj Close,Volume
2019-12-03,201.869995,207.820007,200.369995,207.660004,207.482666,11853653
2019-12-04,211.020004,211.919998,208.270004,209.419998,209.241150,6840459
2019-12-05,210.300003,210.929993,207.508301,208.740005,208.561752,4628444
2019-12-06,211.520004,213.490005,211.119995,212.169998,211.988815,5810457
2019-12-09,211.250000,214.369995,210.899994,212.169998,211.988815,5378320
2019-12-10,213.380005,216.059998,211.259995,213.979996,213.797241,6417228
2019-12-11,214.399994,217.559998,214.300003,217.339996,217.154388,5850247
2019-12-12,216.179993,224.800003,215.820007,224.070007,223.878677,10152084
2019-12-13,224.190002,228.979996,221.820007,223.990005,223.798721,11374183
2019-12-16,225.899994,228.064194,224.770004,225.149994,224.957718,8032684
2019-12-17,225.899994,229.199997,225.520004,228.289993,228.095047,8081598
2019-12-18,229.690002,231.940002,229.350006,229.509995,229.313995,8606969
2019-12-19,230.899994,236.000000,230.699997,235.460007,235.258926,11327674
2019-12-20,238.130005,240.389999,237.354996,239.369995,239.165588,15084607
2019-12-23,240.520004,241.809998,238.389999,238.820007,238.616043,8884815
2019-12-24,238.199997,239.309998,236.820007,238.619995,238.416229,3471597
2019-12-26,238.759995,240.320007,238.000000,239.190002,238.985733,4580451
2019-12-27,239.800003,240.339996,235.809998,236.869995,236.667725,6370251
2019-12-30,235.990005,236.199997,231.059998,232.320007,232.121597,6456178
2019-12-31,230.899994,235.675003,230.130005,235.300003,235.099060,5780283
2020-01-02,238.750000,239.910004,236.720001,239.910004,239.705124,5941969
2020-01-03,235.100006,237.830002,234.100006,236.070007,235.868408,5144308
2020-01-06,232.320007,237.270004,231.270004,237.059998,236.857559,6572812
2020-01-07,238.199997,241.770004,236.389999,239.929993,239.725067,7736594
2020-01-08,239.759995,242.039993,238.149002,240.380005,240.174728,6931017
2020-01-09,243.850006,245.929703,240.854996,243.020004,242.812469,6386053
2020-01-10,247.330002,248.550003,243.750000,244.320007,244.111359,7911560
2020-01-13,247.660004,252.988403,246.750000,251.979996,251.764801,8008451
2020-01-14,250.259995,251.279999,246.750000,247.279999,247.068817,8989483
2020-01-15,247.789993,248.689102,244.529999,245.570007,245.360291,6577636
2020-01-16,247.720001,249.169998,246.774994,248.929993,248.717407,7104791
2020-01-17,249.699997,250.000000,247.369995,249.279999,249.067108,6344764
2020-01-21,247.804993,249.289993,246.570297,247.940002,247.728271,5447925
2020-01-22,249.759995,253.589996,249.000000,250.050003,249.836441,5980967
2020-01-23,251.720001,253.199997,248.149994,252.860001,252.644073,6112861
2020-01-24,257.500000,259.500000,248.300003,250.479996,250.266083,9337839
2020-01-27,238.240005,242.250000,232.229996,240.199997,239.994858,11763354
2020-01-28,242.850006,249.270004,240.714294,247.970001,247.758240,7774401
2020-01-29,247.389999,248.839996,243.940002,245.539993,245.330292,6486279
2020-01-30,241.610001,246.350006,239.399994,245.809998,245.600082,7262590
2020-01-31,243.970001,244.449997,234.750000,236.429993,236.228058,9260493
2020-02-03,235.699997,241.111099,235.449997,240.330002,240.124756,6398205
2020-02-04,246.029999,247.899994,244.020004,247.130005,246.918976,6788589
2020-02-05,251.990005,252.399994,247.410004,250.759995,250.545822,5205502
2020-02-06,252.139999,254.250000,248.880005,254.244995,254.027863,5457051
2020-02-07,252.639999,253.529999,250.572006,251.589996,251.375153,4743803
2020-02-10,252.500000,263.000000,252.300003,262.970001,262.745422,13240194
2020-02-11,267.320007,272.500000,264.829987,267.890015,267.661255,15963922
2020-02-12,270.010010,272.799988,268.447388,272.540009,272.307281,9366118
2020-02-13,270.209991,273.480011,269.109985,270.779999,270.548767,13200384
2020-02-14,287.260010,294.970001,286.000000,289.790009,289.542511,26048093
2020-02-18,285.643494,297.309998,284.859985,296.570007,296.316742,15547025
2020-02-19,301.489990,315.410004,301.485596,314.700012,314.431274,17358281
2020-02-20,312.765015,316.320007,296.350006,308.700012,308.436401,20251259
2020-02-21,304.190002,305.200012,290.660004,294.070007,293.818848,19232331
2020-02-24,270.190002,281.872314,268.000000,273.279999,273.046600,21422873
2020-02-25,276.303497,278.790009,257.959991,262.049988,261.826202,26387442
2020-02-26,262.059998,275.450012,262.000000,267.649994,267.421448,18741536
2020-02-27,254.899994,267.000000,248.889999,252.600006,252.422012,22660373
2020-02-28,242.455002,272.459991,241.789993,270.070007,269.879700,28366882
2020-03-02,276.899994,277.589996,261.000000,276.429993,276.235168,22268639
2020-03-03,278.666504,281.070007,262.460114,265.890015,265.702698,16319828
2020-03-04,270.200012,284.890015,267.200012,284.510010,284.309509,14935184
2020-03-05,276.500000,283.200012,271.500000,273.290009,273.097443,13508187
2020-03-06,266.079987,268.390015,258.000000,266.040009,265.852509,12885307
2020-03-09,239.899994,259.399994,238.179993,245.440002,245.267044,15353960
2020-03-10,256.540009,261.079987,245.990005,261.079987,260.895996,14516218
2020-03-11,255.455002,256.600006,242.570007,246.470001,246.296310,12551693
2020-03-12,225.460007,236.119003,215.800003,216.309998,216.157608,20413535
2020-03-13,230.500000,241.020004,219.610001,240.839996,240.670258,15870943
2020-03-16,212.410004,226.100006,194.000000,196.399994,196.261581,18174303
2020-03-17,200.910004,220.860001,191.000000,217.270004,217.116898,20840799
2020-03-18,200.095001,209.940002,180.680695,202.820007,202.677094,21856657
2020-03-19,201.960007,216.729996,193.389999,212.970001,212.819946,19137847
2020-03-20,219.000000,230.320007,205.130005,205.750000,205.605011,20115854
2020-03-23,205.710007,216.479996,198.520004,212.690002,212.540131,16096866
2020-03-24,229.000000,252.660004,228.050003,249.179993,249.004395,27541095
2020-03-25,253.800003,261.820007,243.660004,245.619995,245.446930,19835767
2020-03-26,253.940002,262.220001,250.000000,257.239990,257.058716,17439692
2020-03-27,250.000000,263.117706,248.679993,252.729996,252.551895,15970744
2020-03-30,255.360001,265.959991,253.589996,265.589996,265.402893,15056253
2020-03-31,267.200012,275.399902,257.750000,263.600006,263.414246,23749014
2020-04-01,255.649994,261.529999,241.279999,243.070007,242.898727,16422828
2020-04-02,244.240005,256.000000,242.309998,255.470001,255.289993,16894113
2020-04-03,253.960007,255.630005,238.389999,243.910004,243.738113,16580346
2020-04-06,255.240005,269.880005,252.929993,268.399994,268.210876,18197062
2020-04-07,277.299988,278.250000,257.299988,259.029999,258.847443,19613047
